Metric,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Goods (101),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min (kHz),2.139,2.274,2.995,3.112,3.132,3.285,3.361,4.024,4.157,4.24,4.312,4.684,5.017,5.148,5.487,5.938,6.011,6.216,6.594,6.889,7.121,8.247,8.341,5.078,5.663,3.728,6.079,11.287
Avg,2.176,2.303,3.021,3.133,3.163,3.317,3.396,4.068,4.206,4.279,4.357,4.72,5.064,5.2,5.527,5.995,6.062,6.259,6.646,6.969,7.165,8.303,8.407,5.123,5.698,3.757,6.144,11.373
Max,2.216,2.323,3.045,3.162,3.202,3.348,3.441,4.11,4.255,4.314,4.399,4.749,5.108,5.25,5.572,6.048,6.118,6.346,6.729,7.042,7.207,8.352,8.498,5.177,5.727,3.783,6.191,11.468
Range (kHz),0.077,0.049,0.05,0.049,0.07,0.063,0.08,0.086,0.098,0.074,0.087,0.065,0.091,0.102,0.085,0.11,0.107,0.13,0.135,0.153,0.086,0.105,0.157,0.098,0.065,0.055,0.112,0.18
Range (%),3.523,2.145,1.656,1.578,2.22,1.889,2.362,2.105,2.328,1.73,1.99,1.383,1.8,1.959,1.542,1.84,1.768,2.079,2.029,2.198,1.205,1.261,1.866,1.919,1.136,1.47,1.829,1.586
Std.Dev.,0.014,0.009,0.011,0.011,0.014,0.01,0.017,0.019,0.017,0.016,0.017,0.014,0.018,0.02,0.017,0.02,0.02,0.023,0.027,0.029,0.02,0.023,0.031,0.019,0.01,0.01,0.022,0.036
Std.Dev (%),0.665,0.405,0.378,0.348,0.427,0.293,0.493,0.468,0.399,0.385,0.397,0.301,0.36,0.387,0.308,0.334,0.322,0.366,0.409,0.414,0.28,0.281,0.374,0.371,0.183,0.253,0.356,0.32
Pickability,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,80.2,95.0,100.0,97.0,99.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bads (32),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min (kHz),2.156,2.275,2.994,3.114,3.154,3.296,3.381,4.04,4.17,4.269,4.335,4.708,5.04,5.165,5.493,5.96,6.029,6.245,6.601,6.921,7.126,8.255,8.336,5.079,5.647,3.743,6.122,11.314
Avg,2.179,2.308,3.027,3.14,3.175,3.326,3.41,4.088,4.221,4.296,4.368,4.731,5.082,5.231,5.543,6.015,6.084,6.275,6.666,6.985,7.185,8.322,8.421,5.138,5.711,3.766,6.175,11.404
Max,2.224,2.362,3.059,3.163,3.195,3.354,3.432,4.116,4.274,4.337,4.401,4.748,5.114,5.312,5.57,6.068,6.139,6.334,6.725,7.049,7.259,8.353,8.493,5.179,5.73,3.787,6.239,11.492
Range (kHz),0.068,0.088,0.065,0.049,0.041,0.059,0.052,0.076,0.104,0.068,0.066,0.04,0.075,0.147,0.077,0.108,0.11,0.09,0.124,0.128,0.132,0.098,0.157,0.1,0.083,0.044,0.117,0.177
Range (%),3.133,3.8,2.135,1.559,1.285,1.763,1.515,1.849,2.469,1.583,1.51,0.854,1.47,2.81,1.384,1.796,1.812,1.428,1.858,1.839,1.841,1.172,1.865,1.945,1.448,1.166,1.901,1.556
Std.Dev.,0.018,0.019,0.017,0.014,0.014,0.013,0.015,0.019,0.023,0.018,0.018,0.012,0.021,0.038,0.022,0.028,0.026,0.023,0.032,0.034,0.028,0.024,0.041,0.023,0.017,0.014,0.033,0.05
Std.Dev (%),0.809,0.818,0.562,0.432,0.443,0.395,0.447,0.475,0.549,0.41,0.417,0.255,0.421,0.728,0.397,0.473,0.435,0.374,0.476,0.493,0.396,0.284,0.483,0.444,0.294,0.385,0.529,0.44
Pickability,93.8,93.8,93.8,93.8,87.5,93.8,93.8,87.5,93.8,93.8,93.8,93.8,93.8,93.8,93.8,87.5,93.8,93.8,93.8,87.5,93.8,90.6,93.8,75.0,84.4,93.8,87.5,93.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goods vs Bads,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg-Avg(kHz),0.002,0.006,0.006,0.007,0.011,0.008,0.014,0.02,0.015,0.017,0.011,0.01,0.018,0.031,0.016,0.02,0.022,0.016,0.02,0.016,0.02,0.018,0.014,0.015,0.012,0.008,0.03,0.032
dAvg/AvgG(%),0.112,0.239,0.209,0.21,0.359,0.249,0.411,0.482,0.364,0.401,0.247,0.216,0.353,0.59,0.289,0.339,0.357,0.258,0.3,0.228,0.281,0.221,0.167,0.299,0.219,0.221,0.493,0.278
